1 -8.898743
2 -8.691805
3 -8.573751
4 -8.777283
5 -8.609210
6 -8.496215
7 -8.575034
8 -8.495534
9 -8.641491
10 -8.528278

1 -6.132925
2 -6.098198
3 -6.078134
4 -6.106061
5 -6.057627
6 -6.041078
7 -6.067177
8 -6.022977
9 -6.091455
10 -6.058804

1 -6.132925
2 -6.087755
3 -6.072459
4 -6.098666
5 -6.049438
6 -6.028325
7 -6.058125
8 -6.009488
9 -6.091455
10 -6.047501

1 -6.098423
2 -5.915130
3 -5.912801
4 -5.996635
5 -5.965029
6 -5.942262
7 -5.931386
8 -5.975221
9 -5.904048
10 -5.924036

1 -5.909143
2 -5.914744
3 -5.898984
4 -5.909103
5 -5.890841
6 -5.900383
7 -5.899699
8 -5.886429
9 -5.904048
10 -5.905389

1 -5.909143
2 -5.834240
3 -5.572711
4 -5.900933
5 -5.732517
6 -5.435023
7 -5.618740
8 -5.483421
9 -5.725364
10 -5.490779

1 0.817532
2 -1.072600
3 -2.083558
4 -0.291801
5 -1.310309
6 -1.975747
7 -1.697420
8 -1.984948
9 -1.740848
10 -1.959839

1 1.890401
2 0.823412
3 0.737424
4 1.361629
5 0.576723
6 -0.236047
7 0.195571
8 0.072951
9 1.385044
10 -0.202767

1 1.890401
2 1.574128
3 1.115183
4 1.386556
5 0.763179
6 0.387304
7 0.975686
8 0.401942
9 1.385044
10 0.926938

1 3.564448
2 4.510865
3 4.450062
4 4.492764
5 4.966933
6 5.476961
7 5.176916
8 4.793754
9 3.858162
10 5.056408

1 6.610532
2 7.046182
3 6.851073
4 6.051051
5 5.606928
6 6.513152
7 6.594820
8 5.326331
9 7.245848
10 6.995101

1 6.843064
2 7.285879
3 7.636121
4 7.584879
5 8.176331
6 7.904432
7 7.473353
8 9.475373
9 7.245848
10 8.349112

1 6.843064
2 7.622918
3 8.895513
4 7.655449
5 8.856171
6 9.293233
7 8.685584
8 10.082386
9 8.594493
10 8.680524

